imdb_title_id,director_id
tt0009937,99
tt0009968,19
tt0009976,100
tt0010040,78
tt0010060,101
tt0010071,39
tt0010103,91
tt0010137,39
tt0010162,61
tt0010193,19
tt0010195,98
tt0010208,102
tt0010219,103
tt0010227,104
tt0010227,59
tt0010247,70
tt0010267,59
tt0010281,8
tt0010298,16
tt0010307,79
tt0010323,75
tt0010418,39
tt0010456,8
tt0010466,22
tt0010484,19
tt0010559,105
tt0010598,106
tt0010600,8
tt0010635,103
tt0010662,19
tt0010680,107
tt0010726,102
tt0010755,70
tt0010806,19
tt0010821,95
tt0010844,45
tt0010853,108
tt0010879,109
tt0010890,110
tt0010925,88
tt0010953,111
tt0010962,8
tt0010964,101
tt0010969,112
tt0011000,106
tt0011130,113
tt0011157,70
tt0011173,114
tt0011193,94
tt0011217,115
tt0011221,75
tt0011237,116
tt0011237,20
tt0011267,117
tt0011294,118
tt0011302,119
tt0011317,120
tt0011344,121
tt0011358,73
tt0011369,122
tt0011370,16
tt0011371,8
tt0011387,123
tt0011387,45
tt0011414,124
tt0011415,19
tt0011439,125
tt0011440,126
tt0011474,109
tt0011513,97
tt0011588,66
tt0011607,106
tt0011623,127
tt0011623,101
tt0011641,8
tt0011647,56
tt0011652,128
tt0011652,129
tt0011679,125
tt0011716,39
tt0011723,102
tt0011741,130
tt0011742,8
tt0011753,103
tt0011779,108
tt0011833,131
tt0011837,102
tt0011841,19
tt0011865,39
tt0011870,132
tt0011904,133
tt0011908,134
tt0011908,93
tt0011909,39
tt0011948,135
tt0011960,8
tt0011979,34
tt0012016,136
tt0012027,137
tt0012068,138
tt0012122,19
tt0012125,139
tt0012134,119
tt0012136,140
tt0012187,39
tt0012190,138
tt0012249,141
tt0012249,142
tt0012281,143
tt0012281,144
tt0012313,145
tt0012314,145
tt0012334,70
tt0012349,92
tt0012364,16
tt0012382,103
tt0012382,146
tt0012397,147
tt0012397,148
tt0012408,149
tt0012465,150
tt0012486,151
tt0012486,152
tt0012494,102
tt0012513,153
tt0012532,19
tt0012538,110
tt0012631,154
tt0012642,155
tt0012645,156
tt0012650,157
tt0012651,115
tt0012675,56
tt0012699,121
tt0012745,118
tt0012752,125
tt0012755,147
tt0012755,148
tt0012763,158
tt0012769,34
tt0012806,102
tt0012928,140
tt0012938,159
tt0012952,125
tt0012952,160
tt0012973,115
tt0012975,161
tt0013033,112
tt0013059,106
tt0013075,155
tt0013075,162
tt0013085,163
tt0013122,164
tt0013134,165
tt0013140,99
tt0013169,106
tt0013201,155
tt0013223,166
tt0013332,45
tt0013367,167
tt0013372,39
tt0013386,168
tt0013386,99
tt0013402,169
tt0013404,56
tt0013428,170
tt0013442,115
tt0013450,82
tt0013469,156
tt0013496,115
tt0013515,138
tt0013556,61
tt0013571,171
tt0013571,172
tt0013574,39
tt0013579,173
tt0013590,158
tt0013592,174
tt0013597,91
tt0013607,175
tt0013619,43
tt0013662,113
tt0013674,135
tt0013688,58
tt0013704,176
tt0013705,177
tt0013741,8
tt0013750,140
tt0013802,178
tt0013830,179
